Abbott||1391270||1532||-9707.33361||-3188.48809
Abernathy||1047895||1298||-10184.29491||-3383.23038
Abilene||410054||656||-9973.314390000001||-3244.8736400000003
Ackerly||1220613||2014||-10171.597||-3252.6499299999996
Addison||1181634||1184||-9682.916850000001||-3296.179
Adrian||1937412||2408||-10266.52114||-3527.47775
Agua Dulce||1654782||2444||-9790.86105||-2778.1692
Alamo||902946||1850||-9812.30638||-2618.3685400000004
Alamo Heights||773132||1645||-9846.585019999999||-2948.49531
Albany||26842||113||-9929.730049999998||-3272.3452
Aledo||586612||1331||-9760.22471||-3269.59643
Alice||86614||556||-9806.97249||-2775.22487
Allen||241205||1232||-9667.055030000001||-3310.31744
Alpine||1021404||1344||-10366.10115||-3035.84919
Alton||1323783||1442||-9831.335939999999||-2628.72995
Alvarado||362977||791||-9721.167819999999||-3240.6531200000004
Alvin||1765064||1929||-9524.41009||-2942.38472
Amarillo||1954494||2872||-10183.12969||-3522.1997100000003
Ames||1378059||1641||-9474.35327||-3005.3826099999997
Amherst||1521051||1920||-10241.54645||-3401.0367899999997
Anahuac||312467||906||-9468.26961||-2977.30001
Anderson||1123333||1775||-9599.24515||-3048.76971
Andrews||581157||1244||-10254.57155||-3231.871580000001
Angleton||149738||1067||-9543.18847||-2916.941
Angus||474200||1300||-9643.30375||-3200.6267100000005
Anna||75512||927||-9654.85991||-3334.90011
Anson||682325||1307||-9989.6207||-3275.6504200000004
Anton||1787132||2737||-10216.37854||-3381.1201300000002
Appleby||1818988||2674||-9460.493129999999||-3171.62882
Aquilla||717175||1387||-9721.80635||-3185.1548399999997
Aransas Pass||982767||1015||-9714.99898||-2790.94677
Archer City||149589||911||-9862.56128||-3359.56593
Arcola||1437620||1690||-9546.57756||-2949.60702
Argyle||1950269||2528||-9718.33475||-3312.12321
Arlington||873461||1335||-9710.806559999999||-3273.5687
Arp||566856||669||-9505.772069999999||-3222.5433199999998
Asherton||1733473||2291||-9975.89404||-2844.35988
Athens||162623||1093||-9585.55207||-3220.48735
Atlanta||1702634||2191||-9416.43537||-3311.37419
Aubrey||609452||1390||-9698.611799999999||-3330.4283400000004
Aurora||1592248||1688||-9750.335609999998||-3306.06784
Austin||1893584||2483||-9774.30608||-3026.7153
Austwell||151380||513||-9684.2208||-2839.02814
Azle||84798||355||-9754.585649999999||-3289.51262
Bailey||1098106||1575||-9616.580909999999||-3343.20531
Baird||1870291||2028||-9939.424359999999||-3239.4016800000004
Balch Springs||1262175||2009||-9662.277139999998||-3272.87413
Balcones Heights||1968236||2839||-9855.16856||-2948.8008600000003
Ballinger||1968318||2664||-9994.73077||-3173.82062
Balmorhea||1196127||1901||-10374.46257||-3098.43123
Bandera||1421917||1979||-9907.36462||-2972.66131
Banquete||1927130||2245||-9779.654639999999||-2780.6281
Bardwell||911090||1217||-9669.61027||-3226.90354
Barry||1601839||1818||-9663.61002||-3209.93189
Barstow||152405||492||-10339.37815||-3146.12451
Bartlett||1853416||2749||-9742.55583||-3079.49121
Bastrop||1585481||2107||-9731.52701||-3011.04947
Bay City||772093||1661||-9596.940200000001||-2898.27565
Bayou Vista||593601||1093||-9493.85339||-2932.63467
Baytown||373133||594||-9497.742740000002||-2973.55047
Beach City||1708403||2043||-9486.2778||-2970.25
Beasley||452928||1206||-9591.800990000002||-2949.74636
Beaumont||1136882||1816||-9412.65562||-3008.0173999999997
Beckville||328187||1326||-9445.54782||-3224.29366
Bedford||60845||721||-9714.306709999999||-3284.4017
Bedias||260695||656||-9594.939699999999||-3077.57486
Bee Cave||864280||1633||-9795.23768||-3030.6097999999997
Beeville||736236||1477||-9774.83312||-2840.08319
Bellaire||476615||999||-9545.88299||-2970.5785800000003
Bellevue||1495335||1650||-9801.392779999998||-3363.6493299999997
Bellmead||1745687||2220||-9710.88903||-3159.4054499999997
Bellville||941660||1322||-9625.71858||-2995.02253
Belton||1983932||2655||-9746.4453||-3105.6013199999998
Benavides||1942539||2818||-9840.80661||-2759.89194
